Participant,Mode,Code,Gender,Age,Orientation,Image_Rate,Trial_Type,Confidence,Accuracy,Milliseconds
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,1 image,different,9,0,2460
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,1 image,different,9,0,2722
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,1 image,different,4,1,2587
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,1 image,different,9,0,2155
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,1 image,different,8,0,2091
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,1 image,different,7,0,2386
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,1 image,same,9,1,3458
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,1 image,same,5,0,3156
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,1 image,same,8,1,1898
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,1 image,same,5,0,3660
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,1 image,same,8,1,2356
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,1 image,same,6,0,3410
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,2 images,different,9,0,2100
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,2 images,different,9,0,1410
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,2 images,different,10,0,3026
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,2 images,different,10,0,2135
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,2 images,different,1,1,2508
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,2 images,different,9,0,1665
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,2 images,same,12,1,2018
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,2 images,same,9,1,1384
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,2 images,same,9,1,1864
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,2 images,same,10,1,1808
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,2 images,same,3,0,2213
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,2 images,same,8,1,3693
