Participant,Mode,Code,Gender,Age,Specificity,Image_Rate,Trial_Type,Confidence,Accuracy,Milliseconds
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,1 image,different,6,1,2284
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,1 image,different,5,1,1712
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,1 image,different,6,1,2448
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,1 image,different,7,0,2289
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,1 image,different,6,1,1790
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,1 image,different,7,0,1671
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,1 image,same,8,1,1434
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,1 image,same,7,1,1652
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,1 image,same,7,1,2757
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,1 image,same,5,0,2356
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,1 image,same,6,0,1806
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,1 image,same,7,1,2157
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,2 images,different,6,1,2565
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,2 images,different,6,1,1369
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,2 images,different,6,1,1655
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,2 images,different,5,1,3164
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,2 images,different,6,1,4259
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,2 images,different,5,1,2074
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,2 images,same,6,0,4801
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,2 images,same,6,0,2862
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,2 images,same,7,1,2240
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,2 images,same,7,1,1548
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,2 images,same,8,1,1417
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,2 images,same,8,1,3710
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,4 images,different,8,0,7263
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,4 images,different,7,0,5628
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,4 images,different,6,1,4959
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,4 images,different,6,1,2882
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,4 images,different,6,1,5852
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,4 images,different,8,0,2113
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,4 images,same,8,1,7606
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,4 images,same,7,1,9940
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,4 images,same,1,0,2558
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,4 images,same,4,0,3031
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,4 images,same,5,0,2469
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,4 images,same,8,1,3041
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,8 images,different,6,1,2515
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,8 images,different,8,0,1870
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,8 images,different,7,0,2592
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,8 images,different,6,1,2285
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,8 images,different,6,1,2355
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,8 images,different,8,0,2609
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,8 images,same,8,1,1408
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,8 images,same,7,1,1763
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,8 images,same,6,0,1601
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,8 images,same,6,0,2639
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,8 images,same,6,0,1632
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,person,8 images,same,6,0,1598
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,print,1 image,different,5,1,1524
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,print,1 image,different,5,1,1443
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,print,1 image,different,4,1,2404
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,print,1 image,different,8,0,2385
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,print,1 image,different,5,1,2160
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,print,1 image,different,7,0,1704
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,print,1 image,same,6,0,1595
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,print,1 image,same,5,0,2022
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,print,1 image,same,5,0,2034
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,print,1 image,same,7,1,2288
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,print,1 image,same,5,0,3504
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,print,1 image,same,8,1,2540
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,print,2 images,different,7,0,4273
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,print,2 images,different,5,1,1870
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,print,2 images,different,6,1,3102
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,print,2 images,different,7,0,7225
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,print,2 images,different,6,1,4791
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,print,2 images,different,6,1,1416
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,print,2 images,same,7,1,1905
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,print,2 images,same,5,0,651
21_RSVPExp02_2019May_RASearston_93634734018.txt,participant,A0011A,Female,21,print,2 images,same,8,1,2762
